This is the list of counters for release 0.6

      4 LDS	Area control China +Activation 6
      1 LDS	Army Lombardia <Army I>
      1 LDS	Army Mogolis Imp. <Army I>
      1 LDS	Army Mogolis Imp. <Army II>
      1 LDS	Army Mysuria <Army I>
      1 LDS	Army Siciliæ <Army I>
      1 LDS	Army Barbaria <Army I>
      1 LDS	Army Barbaria <Army II>
      1 LDS	Army Norvegia <Army I>
      1 LDS	Army Palatinatus <Army I>
      1 LDS	Army Palatinatus <Oberpfalz>
      1 LDS	Army Sancta Sedes <Army I>
      1 LDS	Army Persia <Army I>
      1 LDS	Army Persia <Army II>
      1 LDS	Army Persia <Army III>
      1 LDS	Army Polonia <Army I>
      1 LDS	Army Polonia <Army II>
      1 LDS	Army Pommerania <Army I>
      1 LDS	Army Portugallia <Army I>
      1 LDS	Army Prussia <Army I>
      1 LDS	Army Prussia <Army II>
      1 LDS	Army Prussia <Army III>
      1 LDS	Army Prussia <Army IV>
      1 LDS	Army Pskove <Army I>
      1 LDS	Army Rebellis <Army I>
      1 LDS	Army Rebellis <Army II>
      1 LDS	Army Rebellis <Army III>
      1 LDS	Army Revolt <Army IV>
      1 LDS	Army Revolt <Army V>
      1 LDS	Army Revolt <Army VI>
      1 LDS	Army Révolutionnaires <Army I>
      1 LDS	Army Révolutionnaires <Army II>
      1 LDS	Army Révolutionnaires <Army III>
      1 LDS	Army Révolutionnaires <Army IV>
      1 LDS	Army Révolutionnaires <Army V>
      1 LDS	Army Révolutionnaires <Army VI>
      1 LDS	Army Révolutionnaires <Army VII>
      1 LDS	Army Révolutionnaires <Army VIII>
      1 LDS	Army Fidelis Regi <Army I>
      1 LDS	Army Fidelis Regi <Army II>
      1 LDS	Army Fidelis Regi <Army III>
      1 LDS	Army Russia <Army I>
      1 LDS	Army Russia <Army II>
      1 LDS	Army Russia <Army III>
      1 LDS	Army Russia <Army IV>
      1 LDS	Army Russia <Army V>
      1 LDS	Army Russia <Army VI>
      1 LDS	Army Rezane <Army I>
      1 LDS	Army Sancta Lega <Army I>
      1 LDS	Army Sancta Lega <Army II>
      1 LDS	Army Sac. Rom. Imp. <Army I>
      1 LDS	Army Sabaudia <Army I>
      1 LDS	Army Saxonia <Army I>
      1 LDS	Army Siberia <Army I>
      1 LDS	Army Sudania <Army I>
      1 LDS	Army Tartaria <Голотая Орда>
      1 LDS	Army Suecia <Army I>
      1 LDS	Army Suecia <Army II>
      1 LDS	Army Suecia <Army III>
      1 LDS	Army Suecia <Poniatowski>
      1 LDS	Army Suecia <ROTW>
      1 LDS	Army Helvetia <Army I>
      1 LDS	Army Fratres Militiæ Christi <Army I>
      1 LDS	Army D.S.M. Theutonicorum <Army II>
      1 LDS	Army Tımarlar <Army I>
      1 LDS	Army Tımarlar <Army II>
      1 LDS	Army Tımarlar <Army III>
      1 LDS	Army Tımarlar <Army IV>
      1 LDS	Army Turcia <Army I>
      1 LDS	Army Turcia <Army II>
      1 LDS	Army Turcia <Army III>
      1 LDS	Army Turcia <Army IV>
      1 LDS	Army Turcia <Army V>
      1 LDS	Army Turcia <Army VI>
      1 LDS	Army Ukraina <Army I>
      1 LDS	Army U.S.A. <Army I>
      1 LDS	Army Venetia <Army I>
      1 LDS	Army Venetia <Army II>
      1 LDS	Army Bisinagar <Army I>
      1 LDS	Army Bisinagar <Army II>
      2 SDS	Arsenal Anglia 3/2 <Arsenal>
      1 SDS	Arsenal Anglia 3/2 <Gibraltar>
      2 SDS	Arsenal Anglia 4/3 <Arsenal>
      2 SDS	Arsenal Hispania 3/2 <Arsenal>
      2 SDS	Arsenal Hispania 4/3 <Arsenal>
      3 SDS	Arsenal Francia 3/2 <Arsenal>
      1 SDS	Arsenal Francia 4/3 <Arsenal>
      2 SDS	Arsenal Hollandia 3/2 <Arsenal>
      1 SDS	Arsenal Hollandia 3/2 <Brazilië>
      1 SDS	Arsenal Hollandia 4/3 <Arsenal>
      1 SDS	Arsenal Piratæ 2/1 <Libertalia>
      1 SDS	Arsenal Piratæ 2/1 <Tortuga>
      2 SDS	Arsenal Portugallia 3/2 <Arsenal>
      1 SDS	Arsenal Portugallia 4/3 <Arsenal>
      1 SDS	Arsenal Russia 1/0 <Санкт-Петербург>
      1 SDS	Arsenal Russia 3/2 <Санкт-Петербург>
      1 SDS	Arsenal Russia 3/2 <Севастополь>
      1 SDS	Arsenal Russia 5/4 <Санкт-Петербург>
      2 SDS	Arsenal Suecia 3/2 <Arsenal>
      1 SDS	Arsenal Suecia 4/3 <Arsenal>
      1 LDS	Colony Aden <Aden>
      1 LDS	Colony Anglia <Albany>
      1 LDS	Colony Anglia <Barbados>
      1 LDS	Colony Anglia <Carolina>
      1 LDS	Colony Anglia <Connecticut>
      1 LDS	Colony Anglia <Georgia>
      1 LDS	Colony Anglia <Kingston>
      1 LDS	Colony Anglia <Maine>
      1 LDS	Colony Anglia <Maryland>
      1 LDS	Colony Anglia <Massachussets>
      1 LDS	Colony Anglia <New England>
      1 LDS	Colony Anglia <New Jersey>
      1 LDS	Colony Anglia <New York>
      1 LDS	Colony Anglia <Nova Scotia>
      1 LDS	Colony Anglia <Rhode Island>
      1 LDS	Colony Anglia <Saint-John>
      1 LDS	Colony Anglia <Saint-Thomas>
      1 LDS	Colony Anglia <Virginia>
      1 LDS	Colony Hispania <Acapulco>
      1 LDS	Colony Hispania <Asunción>
      1 LDS	Colony Hispania <Baracoa>
      1 LDS	Colony Hispania <Bogotá>
      1 LDS	Colony Hispania <Buenos Aires>
      1 LDS	Colony Hispania <Caracas>
      1 LDS	Colony Hispania <Cartagena>
      1 LDS	Colony Hispania <Cusco>
      1 LDS	Colony Hispania <Durango>
      1 LDS	Colony Hispania <El Paso>
      1 LDS	Colony Hispania <Guatemala>
      1 LDS	Colony Hispania <Hispaniola>
      1 LDS	Colony Hispania <La Habana>
      1 LDS	Colony Hispania <La Paz>
      1 LDS	Colony Hispania <León>
      1 LDS	Colony Hispania <Lima>
      1 LDS	Colony Hispania <Manila>
      1 LDS	Colony Hispania <Mérida>
      1 LDS	Colony Hispania <México>
      1 LDS	Colony Hispania <Montevideo>
      1 LDS	Colony Hispania <Panamá>
      1 LDS	Colony Hispania <Potosí>
      1 LDS	Colony Hispania <Puerto Rico>
      1 LDS	Colony Hispania <Quito>
      1 LDS	Colony Hispania <San Agustín>
      1 LDS	Colony Hispania <San Diego>
      1 LDS	Colony Hispania <San Luis>
      1 LDS	Colony Hispania <Santa Fé>
      1 LDS	Colony Hispania <Santiago>
      1 LDS	Colony Hispania <Trinidad>
      1 LDS	Colony Hispania <Venezuela>
      1 LDS	Colony Hispania <Vera Cruz>
      1 LDS	Colony Francia <Cap-Breton>
      1 LDS	Colony Francia <Cayenne>
      1 LDS	Colony Francia <Guadeloupe>
      1 LDS	Colony Francia <Île Bourbon>
      1 LDS	Colony Francia <Île de France>
      1 LDS	Colony Francia <Louisbourg>
      1 LDS	Colony Francia <Louisiane>
      1 LDS	Colony Francia <Montréal>
      1 LDS	Colony Francia <Nouvelle-Orléans>
      1 LDS	Colony Francia <Plaisance>
      1 LDS	Colony Francia <Port-Royal>
      1 LDS	Colony Francia <Québec>
      1 LDS	Colony Francia <Saint-Domingue>
      1 LDS	Colony Francia <Saint-Louis>
      1 LDS	Colony Francia <Saint-Pierre>
      1 LDS	Colony Hollandia <Batavia>
      1 LDS	Colony Hollandia <Curaçao>
      1 LDS	Colony Hollandia <Galle>
      1 LDS	Colony Hollandia <Kaapstad>
      1 LDS	Colony Hollandia <Malakka>
      1 LDS	Colony Hollandia <Nieuw Amsterdam>
      1 LDS	Colony Hollandia <Nieuw Oranje>
      1 LDS	Colony Hollandia <Paramaribo>
      1 LDS	Colony Hollandia <Sint Marteen>
      1 LDS	Colony Hollandia <Tobago>
      1 LDS	Colony Ayman <Oman>
      1 LDS	Colony Polonia <Nauja Lietuva>
      1 LDS	Colony Polonia <Nauja Vilnius>
      1 LDS	Colony Polonia <Новыи України>
      1 LDS	Colony Polonia <Nowy Mazowie>
      1 LDS	Colony Polonia <Nowy Polska>
      1 LDS	Colony Portugallia <Belém>
      1 LDS	Colony Portugallia <Fortaleza>
      1 LDS	Colony Portugallia <Goa>
      1 LDS	Colony Portugallia <Maranhão>
      1 LDS	Colony Portugallia <Ouro Preto>
      1 LDS	Colony Portugallia <Pernambuco>
      1 LDS	Colony Portugallia <Porto Alegre>
      1 LDS	Colony Portugallia <Praia>
      1 LDS	Colony Portugallia <Rio de Janeiro>
      1 LDS	Colony Portugallia <São Jose>
      1 LDS	Colony Portugallia <São Paulo>
      1 LDS	Colony Portugallia <São Salvador>
      1 LDS	Colony Prussia <Friedrichsburg>
      1 LDS	Colony Prussia <Wilhelmsburg>
      1 LDS	Colony Russia <Bratsk>
      1 LDS	Colony Russia <Irkutsk>
      1 LDS	Colony Russia <Khabarovsk>
      1 LDS	Colony Russia <Krasnoiarsk>
      1 LDS	Colony Russia <Novosibirsk>
      1 LDS	Colony Russia <Omsk>
      1 LDS	Colony Russia <Orenburg>
      1 LDS	Colony Russia <Perm>
      1 LDS	Colony Russia <Tobolsk>
      1 LDS	Colony Russia <Vladivostock>
      1 LDS	Colony Russia <Yakutsk>
      1 LDS	Colony Suecia <Nya Göteborg>
      1 LDS	Colony Suecia <Nya Korsholm>
      1 LDS	Colony Suecia <Nya Sverige>
      1 LDS	Colony Suecia <Nya Vasa>
      1 LDS	Colony Turcia <ar-Riyād>
      1 LDS	Colony Turcia <Batı Kapi>
      1 LDS	Colony Turcia <Doğu Kapi>
      1 LDS	Colony Turcia <Güney Kapi>
      1 LDS	Colony Turcia <Kuzey Kapi>
      1 LDS	Colony Turcia <Makkah>
      1 LDS	Colony U.S.A. <Carolina>
      1 LDS	Colony U.S.A. <Connecticut>
      1 LDS	Colony U.S.A. <Georgia>
      1 LDS	Colony U.S.A. <Kentucky>
      1 LDS	Colony U.S.A. <Louisiana>
      1 LDS	Colony U.S.A. <Massachussets>
      1 LDS	Colony U.S.A. <New Jersey>
      1 LDS	Colony U.S.A. <New York>
      1 LDS	Colony U.S.A. <Ohio>
      1 LDS	Colony U.S.A. <Pennsylvania>
      1 LDS	Colony U.S.A. <Rhode Island>
      1 LDS	Colony U.S.A. <Vermont>
      1 LDS	Colony U.S.A. <Virginia>
      1 LDS	Colony Venetia <Venezuela>
      1 SSS	Control Aceh
      2 SSS	Control Aden
      2 SSS	Control Durranis Imp.
      2 SSS	Control Algeria
      2 SSS	Control Alsatia
     10 SSS	Control Anglia
      2 SSS	Control Arabia
      2 SSS	Control Astracan
      2 SSS	Control Friburgensi
      2 SSS	Control Bavaria
      2 SSS	Control Belgica
      2 SSS	Control Clivia
      2 SSS	Control Bohemia
      2 SSS	Control Brunsvicum
      2 SSS	Control Ordo Hospitalis
      2 SSS	Control China
      2 SSS	Control Colonia
      2 SSS	Control Don Cassackia
      2 SSS	Control Curlandia
      2 SSS	Control Crimea
      2 SSS	Control Syria
      4 SSS	Control Dania
      2 SSS	Control Scotia
     10 SSS	Control Hispania
      2 SSS	Control Finlandia
     10 SSS	Control Francia
      2 SSS	Control Genua
      2 SSS	Control Georgiani
      2 SSS	Control Granada
      5 SSS	Control Guzarate
     10 SSS	Control Habsburgum
      2 SSS	Control Hanovere
      2 SSS	Control Hansa
      2 SSS	Control Hassia
     10 SSS	Control Hollandia
      2 SSS	Control Hungaria
      8 SSS	Control Huguenotis
      2 SSS	Control Hyderabada
      2 SSS	Control Mesopotamia
      3 SSS	Control Hibernia
      2 SSS	Control Iroquois
      2 SSS	Control Iaponia
      2 SSS	Control Cazan
      2 SSS	Control Livonia
      1 SSS	Control Lituania
      2 SSS	Control Lotharingia
      2 SSS	Control Ægyptus
      2 SSS	Control Mauretanium
      2 SSS	Control Lombardia
      8 SSS	Control Mogolis Imp.
      2 SSS	Control Mysuria
      2 SSS	Control Siciliæ
      2 SSS	Control Norvegia
      2 SSS	Control Westfalia
      2 SSS	Control Ayman
      2 SSS	Control Palatinatus
      2 SSS	Control Sancta Sedes
      4 SSS	Control Persia
     10 SSS	Control Polonia
      2 SSS	Control Pommerania
     10 SSS	Control Portugallia
     10 SSS	Control Prussia
      2 SSS	Control Pskove
     10 SSS	Control Russia
      2 SSS	Control Rezane
      8 SSS	Control Sancta Lega
      2 SSS	Control Sabaudia
      2 SSS	Control Saxonia
      2 SSS	Control Siberia
      2 SSS	Control Sudania
      2 SSS	Control Tartaria
     10 SSS	Control Suecia
      2 SSS	Control Helvetia
      2 SSS	Control Fratres Militiæ Christi
      2 SSS	Control Toscana
      2 SSS	Control Transilvania
     10 SSS	Control Turcia
      2 SSS	Control Ukraina
      4 SSS	Control U.S.A.
     10 SSS	Control Venetia
      8 SSS	Control Bisinagar
      2 SSS	Control Wirtenberga
      1 SSS	Counter Convoy <East Indies:4>
      1 SSS	Counter Convoy <Levant:3>
      1 SSS	Counter Convoy <Flota de Oro:5>
      1 SSS	Counter Convoy <Flota del Perú:5>
      1 LDS	Diplomacy Algeria <sunnite 6 40 1 1 2 3 10 F15>
      1 LDS	Diplomacy Alsatia <catholique 8 50 1 2 4 * 8 F16>
      1 LDS	Diplomacy Arabia <sunnite 4 50 1 1 2 3 10 F17>
      1 LDS	Diplomacy Astracan <sunnite 6 40 1 3 4 3 10 F14>
      1 LDS	Diplomacy Friburgensi <catholique 6 20 1 2 4 * * F14>
      1 LDS	Diplomacy Bavaria <catholique 10 20 2 4 6 * * F16>
      1 LDS	Diplomacy Belgica <catholique 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Clivia <protestant 4 30 2 2 4 8 * F14>
      1 LDS	Diplomacy Bohemia <protestant 15 20 1 3 3 5 15 F15>
      1 LDS	Diplomacy Brandenburgum <protestant 3 70 2 3 4 * * F16>
      1 LDS	Diplomacy Brandenburgum <protestant 3 70 2 3 4 * * F9>
      1 LDS	Diplomacy Brunsvicum <protestant 8 40 4 3 3 * * F14>
      1 LDS	Diplomacy Ordo Hospitalis <catholique 2 60 1 2 3 2 10 F18>
      1 LDS	Diplomacy Colonia <catholique 8 20 1 2 3 8 * F12>
      1 LDS	Diplomacy Corsica <catholique 2 70 2 3 4 6 * F6>
      1 LDS	Diplomacy Don Cassackia <sunnite 6 40 1 3 4 3 10 F14>
      1 LDS	Diplomacy Curlandia <protestant 5 60 1 2 4 6 * F10>
      1 LDS	Diplomacy Crimea <sunnite 6 60 1 1 3 5 10 F10>
      1 LDS	Diplomacy Cyrenaica <sunnite 6 60 1 1 1 3 5 F16>
      1 LDS	Diplomacy Syria <sunnite 12 20 1 1 1 1 8 F15>
      1 LDS	Diplomacy Dania <protestant 6 30 1 2 5 * *10 F>
      1 LDS	Diplomacy Scotia <protestant 8 40 1 1 3 4 * F16>
      1 LDS	Diplomacy Finlandia <protestant 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Genua <catholique 7 30 1 2 3 4 * F17>
      1 LDS	Diplomacy Georgiani <orthodoxe 8 40 4 3 3 * * F14>
      1 LDS	Diplomacy Habsburgum <catholique 8 30 2 3 2 * * F18>
      1 LDS	Diplomacy Hanovere <protestant 12 20 1 2 3 6 * F15>
      1 LDS	Diplomacy Hansa <protestant 4 20 2 3 5 8 * F14>
      1 LDS	Diplomacy Hassia <protestant 7 20 1 3 3 6 * F14>
      1 LDS	Diplomacy Hungaria <catholique 12 50 1 1 3 * * F17>
      1 LDS	Diplomacy Mesopotamia <sunnite 6 20 1 1 2 3 10 F6>
      1 LDS	Diplomacy Hibernia <catholique 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Cazan <sunnite 4 40 1 1 4 3 10 F12>
      1 LDS	Diplomacy Leodium <catholique 8 50 3 2 4 4¹ 4¹ F16>
      1 LDS	Diplomacy Livonia <protestant 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Lituania <catholique 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Lotharingia <catholique 8 50 1 2 4 8 * F16>
      1 LDS	Diplomacy Luca <catholique 8 40 2 3 1 8 * F9>
      1 LDS	Diplomacy Ægyptus <sunnite 12 20 1 1 1 8 15 F8>
      1 LDS	Diplomacy Mauretanium <sunnite 4 20 1 1 2 3 10 F15>
      1 LDS	Diplomacy Moguntium <catholique 6 40 3 2 5 * * F10>
      1 LDS	Diplomacy Lombardia <catholique 14 50 4 5 2 * * F10>
      1 LDS	Diplomacy Mutina <catholique 9 30 1 2 4 * 8 F8>
      1 LDS	Diplomacy Moldavia <orthodoxe 8 50 1 1 1 5 10 F10>
      1 LDS	Diplomacy Monte Ferrato <catholique 6 30 4 2 2 * 8 F12>
      1 LDS	Diplomacy Siciliæ <catholique 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Norvegia <protestant 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Westfalia <protestant 8 40 1 2 3 6 * F12>
      1 LDS	Diplomacy Palatinatus <protestant 10 40 2 3 4 * * F9>
      1 LDS	Diplomacy Sancta Sedes <catholique 10 10 1 1 1 10 * F8>
      1 LDS	Diplomacy Parma <catholique 8 30 1 2 4 * 8 F9>
      1 LDS	Diplomacy Persia <chiite 16 10 3 4 7 * * F5>
      1 LDS	Diplomacy Polonia <catholique 18 80 1 1 2 * * F12>
      1 LDS	Diplomacy Pommerania <protestant 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Portugallia <catholique 10 30 1 2 4 * * F16>
      1 LDS	Diplomacy Pskove <orthodoxe 8 50 1 1 1 5 5 F14>
      1 LDS	Diplomacy Rezane <orthodoxe 8 50 1 1 1 5 5 F14>
      1 LDS	Diplomacy Sabaudia <catholique 5 40 1 2 3 8 * F9>
      1 LDS	Diplomacy Saxonia <protestant 6 30 1 3 4 * * F11>
      1 LDS	Diplomacy Tartaria <sunnite 2 70 1 2 3 5 10 F10>
      1 LDS	Diplomacy Suecia <protestant 8 40 1 2 4 * * F15>
      1 LDS	Diplomacy Helvetia <catholique 2 50 7 10 * * * F9>
      1 LDS	Diplomacy Fratres Militiæ Christi <catholique 4 60 1 2 3 4 10 F14>
      1 LDS	Diplomacy Turingia <protestant 4 60 1 3 7 * * F14>
      1 LDS	Diplomacy Toscana <catholique 6 50 1 3 3 6 10 F14>
      1 LDS	Diplomacy Transilvania <catholique 14 50 1 1 2 5 * F12>
      1 LDS	Diplomacy Treverorum <catholique 8 30 1 4 5 * * F14>
      1 LDS	Diplomacy Tripolis <sunnite 8 50 1 1 1 2 10 F8>
      1 LDS	Diplomacy Tunesia <sunnite 4 30 1 1 1 2 10 F8>
      1 LDS	Diplomacy Ukraina <orthodoxe 6 40 1 3 4 3 10 F14>
      1 LDS	Diplomacy U.S.A. <protestant 5 50 10 * * * * F10>
      1 LDS	Diplomacy Walachia <orthodoxe 2 50 1 1 1 5 10 F16>
      1 LDS	Diplomacy Venetia <catholique 12 20 3 4 7 * * F16>
      1 LDS	Diplomacy Hollanda Prima <protestant 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Ukraina Prima <orthodoxe 4 50 2 4 5 8 * F10>
      1 LDS	Diplomacy Wirtenberga <catholique 8 30 1 4 5 * * F14>
      1 LDS	Fleet Aden <Fleet I>
      1 LDS	Fleet Algeria <Fleet I>
      1 LDS	Fleet Anglia <Fleet I>
      1 LDS	Fleet Anglia <Fleet II>
      1 LDS	Fleet Anglia <Fleet III>
      1 LDS	Fleet Anglia <Fleet IV>
      1 LDS	Fleet Anglia <Fleet V>
      1 LDS	Fleet Anglia <Fleet VI>
      1 LDS	Fleet China <Fleet I>
      1 LDS	Fleet Dania <Fleet I>
      1 LDS	Fleet Hispania <Fleet I>
      1 LDS	Fleet Hispania <Fleet II>
      1 LDS	Fleet Hispania <Fleet III>
      1 LDS	Fleet Hispania <Fleet IV>
      1 LDS	Fleet Francia <Fleet I>
      1 LDS	Fleet Francia <Fleet II>
      1 LDS	Fleet Francia <Fleet III>
      1 LDS	Fleet Francia <Fleet IV>
      1 LDS	Fleet Francia <Fleet V>
      1 LDS	Fleet Genua <Fleet I>
      1 LDS	Fleet Guzarate <Fleet I>
      1 LDS	Fleet Habsburgum <Fleet I>
      1 LDS	Fleet Hollandia <Fleet I>
      1 LDS	Fleet Hollandia <Fleet II>
      1 LDS	Fleet Hollandia <Fleet III>
      1 LDS	Fleet Hollandia <Fleet IV>
      1 LDS	Fleet Hollandia <Fleet V>
      1 LDS	Fleet Iaponia <Fleet I>
      1 LDS	Fleet Ægyptus <Fleet I>
      1 LDS	Fleet Siciliæ <Fleet I>
      1 LDS	Fleet Ayman <Fleet I>
      1 LDS	Fleet Polonia <Fleet I>
      1 LDS	Fleet Portugallia <Fleet I>
      1 LDS	Fleet Fidelis Regi <Fleet I>
      1 LDS	Fleet Russia <Fleet I>
      1 LDS	Fleet Russia <Fleet II>
      1 LDS	Fleet Russia <Fleet III>
      1 LDS	Fleet Suecia <Fleet I>
      1 LDS	Fleet Suecia <Fleet II>
      1 LDS	Fleet Suecia <Transport>
      1 LDS	Fleet Turcia <Fleet I>
      1 LDS	Fleet Turcia <Fleet II>
      1 LDS	Fleet Turcia <Fleet III>
      1 LDS	Fleet Turcia <Fleet IV>
      1 LDS	Fleet Turcia <Fleet V>
      1 LDS	Fleet Turcia <Fleet VI>
      1 LDS	Fleet Venetia <Fleet I>
      1 LDS	Fleet Venetia <Fleet II>
     11 SDS	Fort Anglia
     10 SDS	Fort Hispania
     11 SDS	Fort Francia
      2 SDS	Fort Habsburgum
      5 SDS	Fort Hollandia
      2 SDS	Fort Polonia
      4 SDS	Fort Portugallia
      2 SDS	Fort Prussia
      2 SDS	Fortress Anglia 2/1
      4 SDS	Fortress Anglia 3/2
      4 SDS	Fortress Anglia 4/3
      2 SDS	Fortress Anglia 5/4
     30 SSS	Fortress 1
      6 SDS	Fortress Hispania 2/1
      4 SDS	Fortress Hispania 3/2
      4 SDS	Fortress Hispania 4/3
      3 SDS	Fortress Hispania 5/4
      5 SDS	Fortress Francia 2/1
      5 SDS	Fortress Francia 3/2
      6 SDS	Fortress Francia 4/3
      4 SDS	Fortress Francia 5/4
      2 SDS	Fortress Habsburgum 2/1
      1 SDS	Fortress Habsburgum 3/2
      5 SDS	Fortress Habsburgum 4/3
      3 SDS	Fortress Habsburgum 5/4
      2 SDS	Fortress Hollandia 2/1
      4 SDS	Fortress Hollandia 3/2
      5 SDS	Fortress Hollandia 4/3
      2 SDS	Fortress Hollandia 5/4
      1 SDS	Fortress Huguenotis 2/1
      4 SDS	Fortress Huguenotis 3/2
     13 SDS	Fortress Quidam 3/2
      8 SDS	Fortress Quidam 4/3
      6 SDS	Fortress Quidam 5/4
      2 SDS	Fortress Polonia 2/1
      4 SDS	Fortress Polonia 3/2
      4 SDS	Fortress Polonia 4/3
      1 SDS	Fortress Polonia 5/4
      3 SDS	Fortress Portugallia 2/1
      5 SDS	Fortress Portugallia 3/2
      2 SDS	Fortress Portugallia 4/3
      2 SDS	Fortress Prussia 2/1
      4 SDS	Fortress Prussia 3/2
      4 SDS	Fortress Prussia 4/3
      1 SDS	Fortress Prussia 5/4
      4 SDS	Fortress Russia 2/1
      4 SDS	Fortress Russia 3/2
      2 SDS	Fortress Russia 4/3
      1 SDS	Fortress Russia 5/4
      1 SDS	Fortress Sancta Lega 2/1
      4 SDS	Fortress Sancta Lega 3/2
      2 SDS	Fortress Suecia 2/1
      4 SDS	Fortress Suecia 3/2
      4 SDS	Fortress Suecia 4/3
      1 SDS	Fortress Suecia 5/4
      5 SDS	Fortress Turcia 2/1
     10 SDS	Fortress Turcia 3/2
      2 SDS	Fortress Turcia 4/3
      1 SDS	Fortress Turcia 5/4
      2 SDS	Fortress Venetia 2/1
      5 SDS	Fortress Venetia 3/2
      3 SDS	Fortress Venetia 4/3
      1 SDS	Fortress Venetia 5/4
     10 SDS	Fort Russia
      4 SDS	Fort Suecia
      5 SDS	Fort Turcia
      6 SDS	Counter Dutch Flood
     16 SDS	Counter Gold Mine
      1 LDS	Counter Inflation
     30 SDS	Counter Pillage
     10 SDS	Counter Rebellion
     30 SDS	Counter Revolt
      1 LDS	Counter Round
     30 SDS	Counter Siegeworks
      1 LSS	Counter Turn
      1 SSS	King Anglia <King>
      1 SSS	King Hispania <Rey>
      1 SSS	King Francia <Roi>
      1 SSS	King Habsburgum <Kaiser>
      1 SSS	King Hollandia <Stathouder>
      1 SSS	King Polonia <Król>
      1 SSS	King Portugallia <Rei>
      1 SSS	King Prussia <König>
      1 SSS	King Fidelis Regi <Legit King>
      1 SSS	King Russia <Царь>
      1 SSS	King Suecia <Kung>
      1 SSS	King Turcia <Sultan>
      1 SSS	King Venetia <Doxe:doge>
      1 SSS	LD Aden <3>
      1 SSS	LD Aden <4>
      1 SSS	LD Durranis Imp. <1>
      1 SSS	LD Alsatia <1>
      1 SSS	LD Anglia <16>
      1 SSS	LD Anglia <17>
      1 SSS	LD Anglia <18>
      1 SSS	LD Anglia <19>
      1 SSS	LD Anglia <20>
      1 SSS	LD Anglia <21:Sepoys:cipayes>
      1 SSS	LD Anglia <22:Sepoys:cipayes>
      1 SSS	LD Anglia <23:Sepoys:cipayes>
      1 SSS	LD Anglia <24:Sepoys:cipayes>
