#Count;Type;Country;Name
x3;PIRATE;angleterre;
x4;PIRATE;france;
x1;PIRATE;espagne;Flandres
x1;PIRATE;espagne;Olivares
x2;PIRATE;hollande;
x1;PIRATE;portugal;
x1;PIRATE;russie;
x1;PIRATE;suede;
x2;PIRATE;turquie;
x1;PIRATE;turquievenise;Ragusa
x1;PIRATE;venise;
x1;PIRATE;maroc;
x1;PIRATE;algerie;
x1;PIRATE;cyrenaique;
x1;PIRATE;chevaliers;
x1;PIRATE;tripoli;
x1;PIRATE;tunisie;
x1;PIRATE;danemark;
x16;PIRATE;pirates
#Count;Type;Country;Name;First index;Class;Class 2
x1;LD;teutoniques2;;3;teutoniques2;
x1;LDND;teutoniques2;;4;teutoniques2;galere
x1;ND;teutoniques2;;1;;transport
x2;NDE;teutoniques2;;1;teutoniques2;teutoniques2
x2;LD;bade;;1;bade;
x1;FLEET;genes;;1;;genes
x1;LDND;genes;;1;genes;galere
x1;LDND;genes;;2;genes;genes
x1;ND;genes;;1;;transport
x2;NDE;genes;;1;genes;genes
x1;LD;georgie;;1;georgie;
x2;LD;grenade;;1;grenade;
x1;ARMY;hanovre;;1;hanovre;
x2;LD;hanovre;;1;hanovre;
x1;ARMY;hanse;;1;hanse;
x1;FLEET;hanse;;1;hanse;
x2;LDND;hanse;;1;hanse;galere
x1;LDND;hanse;;3;hanse;hanse
x1;ND;hanse;;1;;transport
x2;NDE;hanse;;1;hanse;hanse
x1;ARMY;hesse;;1;hesse;
x2;LD;hesse;;1;hesse;
x1;ARMY;suisse;;1;suisse;
x2;LD;suisse;;1;suisse;
x2;ARMY;huguenots;;1;huguenots;
x4;LD;huguenots;;1;huguenots;
x2;ARMY;hongrie;;1;hongrie;
x4;LD;hongrie;;1;hongrie;
x1;LD;liege;;1;liege;
x1;ARMY;milan;;1;milan;
x2;LD;milan;;1;milan;
x2;LD;lorraine;;1;lorraine;
x1;LD;lucca;;1;lucca;
x1;ARMY;maroc;;1;maroc;
x2;LD;maroc;;2;maroc;
x1;LDND;maroc;;1;maroc;
x2;NDE;maroc;;1;maroc;maroc
x2;LD;irak;;1;irak;
x1;LD;mayence;;1;mayence;
x1;LD;moldavie;;1;moldavie;
x1;LD;montferrat;;1;montferrat;
x1;LD;modene;;1;modene;
x1;LDND;chevaliers;;1;chevaliers;chevaliers
x1;LD;chevaliers;;2;chevaliers;
x1;ND;chevaliers;;1;;transport
x2;NDE;chevaliers;;1;chevaliers;chevaliers
x1;ARMY;palatinat;;1;palatinat;
x1;ARMY;palatinat;Oberpfalz;2;palatinat;
x2;LD;palatinat;;1;palatinat;
x1;LD;parme;;1;parme;
x3;ARMY;perse;;1;perse;
x5;LD;perse;;1;perse;
x1;ARMY;pskov;;1;pskov;
x1;LD;pskov;;1;pskov;
x1;ARMY;ryazan;;1;ryazan;
x1;LD;ryazan;;1;ryazan;
x1;ARMY;savoie;;1;savoie;
x1;LDND;savoie;;1;savoie;savoie
x1;LD;savoie;;2;savoie;
x1;ND;savoie;;1;;transport
x2;NDE;savoie;;1;savoie;savoie
x2;ARMY;sainte-ligue;;1;sainte-ligue;
x4;LD;sainte-ligue;;1;sainte-ligue;
x1;ARMY;papaute;;1;papaute;
x1;LDND;papaute;;1;papaute;galere
x1;LDND;papaute;;2;papaute;papaute
x1;LD;papaute;;3;papaute;
x1;ND;papaute;;1;;transport
x2;NDE;papaute;;1;papaute;papaute
x1;ARMY;saxe;;1;saxe;
x2;LD;saxe;;1;saxe;
x1;ARMY;ecosse;;1;ecosse;
x2;LDND;ecosse;;1;ecosse;ecosse
x1;LD;ecosse;;3;ecosse;
x1;ND;ecosse;;1;;transport
x2;NDE;ecosse;;1;ecosse;ecosse
x1;ARMY;naples;;1;naples;
x1;FLEET;naples;;1;;naples
x1;LDND;naples;;1;naples;galere
x1;LDND;naples;;2;naples;naples
x1;LD;naples;;3;naples;
x1;ND;naples;;1;;transport
x2;NDE;naples;;1;naples;naples
x1;ARMY;damas;;1;damas;
x2;LD;damas;;1;damas;
x1;ARMY;steppes;Голотая Орда;1;steppes;
x2;LD;steppes;;1;steppes;
x2;LD;toscane;;1;toscane;
x2;LD;transylvanie;;1;transylvanie;
x1;LD;treves;;1;treves;
x1;LDND;tripoli;;1;tripoli;galere
x1;ND;tripoli;;1;;transport
x2;NDE;tripoli;;1;tripoli;tripoli
x1;LDND;tunisie;;1;tunisie;galere
x1;LDND;tunisie;;2;tunisie;tunisie
x1;ND;tunisie;;1;;transport
x2;NDE;tunisie;;1;tunisie;tunisie
x1;LD;thuringe;;1;thuringe;
x1;ARMY;ukraine;;1;ukraine;
x2;LD;ukraine;;1;ukraine;
x1;ARMY;usa;;1;usa;
x1;LDND;usa;;1;usa;usa
x2;LD;usa;;2;usa;
x1;ND;usa;;1;;transport
x4;LDENDE;usa;;1;usa;usa
x1;LD;valachie;;1;valachie;
x1;LD;oldenburg;;1;oldenburg;
x2;LD;westphalia;;1;westphalia;
x2;LD;wurtemberg;;1;wurtemberg;
x1;FLEET;aden;;1;;aden
x2;LDND;aden;;1;aden;aden
x2;LD;aden;;3;aden;
x1;ND;aden;;1;;transport
x4;LDENDE;aden;;1;aden;aden
x1;FLEET;oman;;1;;oman
x2;LDND;oman;;1;oman;oman
x2;LD;oman;;3;oman;
x1;ND;oman;;1;;transport
x4;LDENDE;oman;;1;oman;oman
x2;ARMY;azteque;;1;azteque;
x2;LD;azteque;;1;azteque;
x2;LDE;azteque;;1;azteque;
x2;ARMY;vijayanagar;;1;vijayanagar;
x2;LD;vijayanagar;;1;vijayanagar;
x2;LDE;vijayanagar;;1;vijayanagar;
x2;ARMY;chine;;1;chine;
x1;FLEET;chine;;1;;chine
x8;LDND;chine;;1;chine;chine
x1;ND;chine;;1;;transport
x6;LDENDE;chine;;1;chine;chine
x1;ARMY;afghans;;1;afghans;
x1;LD;afghans;;1;afghans;
x2;LDE;afghans;;1;afghans;
x1;FLEET;gujarat;;1;;gujarat
x2;LD;gujarat;;5;gujarat;
x4;LDND;gujarat;;1;gujarat;gujarat
x4;LDENDE;gujarat;;1;gujarat;gujarat
x1;ARMY;hyderabad;;1;hyderabad;
x1;LD;hyderabad;;1;hyderabad;
x2;LDE;hyderabad;;1;hyderabad;
x3;ARMY;japon;;1;japon;
x1;FLEET;japon;;1;;japon
x4;LDND;japon;;1;japon;japon
x4;LDENDE;japon;;1;japon;japon
x2;ARMY;inca;;1;inca;
x2;LD;inca;;1;inca;
x2;LDE;inca;;1;inca;
x2;ARMY;mogol;;1;mogol;
x2;LD;mogol;;1;mogol;
x2;LDE;mogol;;1;mogol;
x1;ARMY;mysore;;1;mysore;
x1;LD;mysore;;1;mysore;
x2;LDE;mysore;;1;mysore;
x3;LD;iroquois;;1;iroquois;
x3;LDE;iroquois;;1;iroquois;
x1;ARMY;siberie;;1;siberie;
x1;LD;siberie;;1;siberie;
x2;LDE;siberie;;1;siberie;
x1;ARMY;soudan;;1;soudan;
x1;LD;soudan;;1;soudan;
x2;LDE;soudan;;1;soudan;
x2;ARMY;croises;;1;croises;
x1;ARMY;saint-empire;;1;saint-empire;
x2;LD;saint-empire;;1;saint-empire;
## Rebelles : pour les guerres civiles.
x3;ARMY;rebelles;;1;rebelles;
x9;LD;rebelles;;1;rebelles;
x2;LDE;rebelles;;1;rebelles;
## Revolt : pour les R/D et autres révoltes paysannes.
x3;ARMY;revolt;;4;revolt;
x5;LD;revolt;;10;revolt;
x2;LDE;revolt;;3;revolt;
x2;ARMY;natives;;1;natives;
x8;LD;natives;;1;natives;
x9;LDE;natives;;1;natives;
x4;LD;blanc;Militia;1;blanc;
x12;LDE;blanc;Militia;1;blanc;
